text,tokens,ner_tags
Patient presented with  severe chest pain  and was immediately taken for an urgent angioplasty procedure  using  stent placement.,"['Patient', 'presented', 'with', 'severe', 'chest', 'pain', 'and', 'was', 'immediately', 'taken', 'for', 'an', 'urgent', 'angioplasty', 'procedure', 'using', 'stent', 'placement', '.']","['O', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O']"
"The patient presented with chest pain and shortness of breath, leading to an emergency cardiac catheterization and angioplasty.","['The', 'patient', 'presented', 'with', 'chest', 'pain', 'and', 'shortness', 'of', 'breath', ',', 'leading', 'to', 'an', 'emergency', 'cardiac', 'catheterization', 'and', 'angioplasty', '.']","['O', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'O', 'I-SYMPTOM', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'I-PROCEDURE', 'O', 'I-PROCEDURE', 'O']"
"The patient presented with chest pain and shortness of breath, requiring immediate cardiac catheterization  due to suspected acute myocardial infarction.","['The', 'patient', 'presented', 'with', 'chest', 'pain', 'and', 'shortness', 'of', 'breath', ',', 'requiring', 'immediate', 'cardiac', 'catheterization', ' ', 'due', 'to', 'suspected', 'acute', 'myocardial', 'infarction', '.']","['O', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'B-SYMPTOM', 'O', 'I-SYMPTOM', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O']"
"The patient presented with acute chest pain, shortness of breath and a history of  B-TYPE diabetes. An urgent B-PROCEDURE ECG and blood test were ordered.","['The', 'patient', 'presented', 'with', 'acute', 'chest', 'pain', ',', 'shortness', 'of', 'breath', 'and', 'a', 'history', 'of', 'B-TYPE', 'diabetes', '.', 'An', 'urgent', 'B-PROCEDURE', 'ECG', 'and', 'blood', 'test', 'were', 'ordered', '.']","['O', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'O', 'I-SYMPTOM', 'O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'B-TEST', 'O', 'O', 'O']"
"The patient presented with chest pain and shortness of breath, leading to an urgent cardiac catheterization procedure to check for B-ALLERGEN blockages.","['The', 'patient', 'presented', 'with', 'chest', 'pain', 'and', 'shortness', 'of', 'breath', ',', 'leading', 'to', 'an', 'urgent', 'cardiac', 'catheterization', 'procedure', 'to', 'check', 'for', 'B-ALLERGEN', 'blockages', '.']","['O', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'O', 'I-SYMPTOM', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-ALLERGEN', 'O', 'O']"
"Patient presented with chest pain and difficulty breathing; an immediate ECG showed signs of myocardial infarction, prompting urgent angioplasty and stent placement.","['Patient', 'presented', 'with', 'chest', 'pain', 'and', 'difficulty', 'breathing', ';', 'an', 'immediate', 'ECG', 'showed', 'signs', 'of', 'myocardial', 'infarction', ',', 'prompting', 'urgent', 'angioplasty', 'and', 'stent', 'placement', '.']","['O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O']"
"The patient presented with chest pain B-SYMPTOM and shortness of breath B-SYMPTOM  ,  leading to an emergency room visit  for a suspected cardiac event.","['The', 'patient', 'presented', 'with', 'chest', 'pain', 'and', 'shortness', 'of', 'breath', ',', 'leading', 'to', 'an', 'emergency', 'room', 'visit', 'for', 'a', 'suspected', 'cardiac', 'event', '.']","['O', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O']"
"The patient's chest pain, B-SYMPTOM, worsened after a B-PROCEDURE angiography and  high blood pressure, B-CONDITION, prompted an emergency B-PROCEDURE cardiac catheterization.","['The', ""patient's"", 'chest', 'pain', ',', 'worsened', 'after', 'a', 'B-PROCEDURE', 'angiography', 'and', 'high', 'blood', 'pressure', ',', 'prompt', 'an', 'emergency', 'B-PROCEDURE', 'cardiac', 'catheterization', '.']","['O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-CONDITION', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'I-PROCEDURE', 'O']"
Patient presented with acute chest pain and underwent an emergent coronary angioplasty procedure.,"['Patient', 'presented', 'with', 'acute', 'chest', 'pain', 'and', 'underwent', 'an', 'emergent', 'coronary', 'angioplasty', 'procedure', '.']","['O', 'O', 'O', 'B-CONDITION', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'O']"
"The patient complained of chest pain and shortness of breath, requiring immediate hospitalization and a cardiac catheterization procedure to assess for acute myocardial infarction.","['The', 'patient', 'complained', 'of', 'chest', 'pain', 'and', 'shortness', 'of', 'breath', ',', 'requiring', 'immediate', 'hospitalization', 'and', 'a', 'cardiac', 'catheterization', 'procedure', 'to', 'assess', 'for', 'acute', 'myocardial', 'infarction', '.']","['O', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'O']"
The patient presented with  acute chest pain and was diagnosed with  B-Myocardial Infarction requiring emergent Angioplasty.,"['The', 'patient', 'presented', 'with', 'acute', 'chest', 'pain', 'and', 'was', 'diagnosed', 'with', 'B-Myocardial', 'Infarction', 'requiring', 'emergent', 'Angioplasty', '.']","['O', 'O', 'O', 'O', 'B-SYMPTOM', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'B-PROCEDURE', 'O']"
"The patient presented with chest pain and shortness of breath, requiring immediate cardiac catheterization to assess for coronary artery blockage. ","['The', 'patient', 'presented', 'with', 'chest', 'pain', 'and', 'shortness', 'of', 'breath', ',', 'requiring', 'immediate', 'cardiac', 'catheterization', 'to', 'assess', 'for', 'coronary', 'artery', 'blockage', '.']","['O', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'O']"
"The patient presented with chest pain and shortness of breath, leading to an emergency angioplasty procedure.","['The', 'patient', 'presented', 'with', 'chest', 'pain', 'and', 'shortness', 'of', 'breath', ',', 'leading', 'to', 'an', 'emergency', 'angioplasty', 'procedure', '.']","['O', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'O', 'I-SYMPTOM', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'O']"
The patient presented with acute chest pain and was urgently referred for a cardiac catheterization procedure.,"['The', 'patient', 'presented', 'with', 'acute', 'chest', 'pain', 'and', 'was', 'urgently', 'referred', 'for', 'a', 'cardiac', 'catheterization', 'procedure', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'O']"
"Patient experienced chest pain and shortness of breath, leading to a B-TYPE coronary angiogram and subsequent stenting.","['Patient', 'experienced', 'chest', 'pain', 'and', 'shortness', 'of', 'breath', ',', 'leading', 'to', 'a', 'B-TYPE', 'coronary', 'angiogram', 'and', 'subsequent', 'stenting', '.']","['O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'O', 'I-SYMPTOM', 'O', 'O', 'O', 'O', 'B-CONDITION', 'O', 'B-PROCEDURE', 'O', 'O', 'B-PROCEDURE', 'O']"
