text,tokens,ner_tags
Emergency team performed an urgent tracheostomy on the 7-year-old patient who was experiencing severe कफ़ and extreme difficulty breathing after being diagnosed with severe पैब्लोइड डिस्प्लाज़िया.,"['Emergency', 'team', 'performed', 'an', 'urgent', 'tracheostomy', 'on', 'the', '7-year-old', 'patient', 'who', 'was', 'experiencing', 'severe', 'कफ़', 'and', 'extreme', 'difficulty', 'breathing', 'after', 'being', 'diagnosed', 'with', 'severe', 'पैब्लोइड', 'डिस्प्लाज़िया', '.']","['O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O']"
"The patient was rushed to the ICU after experiencing severe chest pain, shortness of breath, and a sudden drop in blood pressure due to a cardiac arrest caused by a severe case of हृदय रोग.","['The', 'patient', 'was', 'rushed', 'to', 'the', 'ICU', 'after', 'experiencing', 'severe', 'chest', 'pain', 'and', 'shortness', 'of', 'breath', 'and', 'a', 'sudden', 'drop', 'in', 'blood', 'pressure', 'due', 'to', 'a', 'cardiac', 'arrest', 'caused', 'by', 'a', 'severe', 'case', 'of', 'हृदय रोग', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TEST', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'O']"
"55-year-old male patient, having a history of Asthma, was rushed to the ER due to severe Chest pain and shortness of breath after consuming a small amount of peanut.","['55-year-old', 'male', 'patient', 'having', 'a', 'history', 'of', 'Asthma', ',', 'was', 'rushed', 'to', 'the', 'ER', 'due', 'to', 'severe', 'Chest', 'pain', 'and', 'shortness', 'of', 'breath', 'after', 'consuming', 'a', 'small', 'amount', 'of', 'peanut']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ALLERGEN']"
A 30-year-old woman with a history of गंभीर चिंता and hypertension underwent an emergency 心脏手术 after experiencing severe ब्रेडिकार्डिया.,"['A', '30-year-old', 'woman', 'with', 'a', 'history', 'of', 'गंभीर चिंता', 'and', 'hypertension', 'underwent', 'an', 'emergency', '心脏手术', 'after', 'experiencing', 'severe', 'ब्रेडिकार्डिया', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'O', 'B-CONDITION', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'O']"
"The patient was admitted to the ICU due to सीने में दर्द (chest pain) after an angioplasty procedure, which revealed severe ट्यूमर (tumor) growth.","['The', 'patient', 'was', 'admitted', 'to', 'the', 'ICU', 'due', 'to', 'सीने', 'में', 'दर्द', '(', 'chest', 'pain', ')', 'after', 'an', 'angioplasty', 'procedure', ',', 'which', 'revealed', 'severe', 'ट्यूमर', 'growth', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'B-SYMPTOM', 'O', 'I-SYMPTOM', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'O', 'B-CONDITION', 'O', 'O']"
The 35-year-old patient developed severe shortness of breath and chest tightness after undergoing an urgent angioplasty procedure for acute myocardial infarction (-heart attack) and was administered 0.5mg Atropine.,"['The', '35-year-old', 'patient', 'developed', 'severe', 'shortness', 'of', 'breath', 'and', 'chest', 'tightness', 'after', 'undergoing', 'an', 'urgent', 'angioplasty', 'procedure', 'for', 'acute', 'myocardial', 'infarction', '-heart', 'attack', 'and', 'was', 'administered', '0.5mg', 'Atropine', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-CONDITION', 'O', 'I-CONDITION', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O']"
"The emergency room doctor ordered an immediate blood transfusion for the patient suffering from severe ब्लड शुगर and थायराइड failure, who had experienced sudden chest pain and तेज़ सिर दर्द.","['The', 'emergency', 'room', 'doctor', 'ordered', 'an', 'immediate', 'blood', 'transfusion', 'for', 'the', 'patient', 'suffering', 'from', 'severe', 'ब्लड शुगर', 'and', 'थायराइड', 'failure', 'who', 'had', 'experienced', 'sudden', 'chest', 'pain', 'and', 'तेज़ सिर दर्द', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'B-SYMPTOM', 'O']"
Emergency team rushed the patient with acute pancreatitis to the ICU where he was administered 1g of cefotaxime and placed on a ventilator after showing severe respiratory distress and severe abdominal pain.,"['Emergency', 'team', 'rushed', 'the', 'patient', 'with', 'acute', 'pancreatitis', 'to', 'the', 'ICU', 'where', 'he', 'was', 'administered', '1g', 'of', 'cefotaxime', 'and', 'placed', 'on', 'a', 'ventilator', 'after', 'showing', 'severe', 'respiratory', 'distress', 'and', 'severe', 'abdominal', 'pain', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'O', 'B-DOSAGE', 'O', 'B-MEDICATION', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'B-SYMPTOM', 'O']"
The doctor ordered an emergency कार्डियोपल्मोनरी आरेस्ट (CPR) procedure for the patient showing symptoms of severe स्ट्रोक (stroke) after a blood test revealed high levels of Troponin.,"['The', 'doctor', 'ordered', 'an', 'emergency', 'कार्डियोपल्मोनरी', 'आरेस्ट', '(CPR)', 'procedure', 'for', 'the', 'patient', 'showing', 'symptoms', 'of', 'severe', 'स्ट्रोक', '(stroke)', 'after', 'a', 'blood', 'test', 'revealed', 'high', 'levels', 'of', 'Troponin', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'I-PROCEDURE', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'B-CONDITION', 'O', 'O', 'O', 'O', 'B-TEST', 'O', 'O', 'O', 'O', 'O', 'O']"
The cardiologist performed urgent pacemaker implantation (Biventricular ICD) to treat the patient's severe heart failure (NYHA Class III) with recent onset of shortness of breath and peripheral edema.,"['The', 'cardiologist', 'performed', 'urgent', 'pacemaker', 'implantation', '(Biventricular', 'ICD', ')', 'to', 'treat', 'the', ""patient's"", 'severe', 'heart', 'failure', '(NYHA', 'Class', 'III', ')', 'with', 'recent', 'onset', 'of', 'shortness', 'of', 'breath', 'and', 'peripheral', 'edema', '.']","['O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'B-TEST', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'B-SYMPTOM', 'O']"
