text,tokens,ner_tags
"The patient suddenly experienced severe chest pain and was rushed to the hospital for cardiac arrest, where she underwent emergency angioplasty.","['The', 'patient', 'suddenly', 'experienced', 'severe', 'chest', 'pain', 'and', 'was', 'rushed', 'to', 'the', 'hospital', 'for', 'cardiac', 'arrest', ',', 'where', 'she', 'underwent', 'emergency', 'angioplasty']","['O', 'O', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE']"
The patient was put on ventilator support and received 2 units of packed red blood cells due to severe दिल का दौरा ( myocardial infarction ) after a long ECG monitor.,"['The', 'patient', 'was', 'put', 'on', 'ventilator', 'support', 'and', 'received', '2', 'units', 'of', 'packed', 'red', 'blood', 'cells', 'due', 'to', 'severe', 'दिल का दौरा', '(', 'myocardial', 'infarction', ') ', 'after', 'a', 'long', 'ECG', 'monitor', '.']","['O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-DOSAGE', 'O', 'O', 'O', 'O', 'O', 'B-MEDICATION', 'O', 'O', 'O', 'B-CONDITION', 'O', 'I-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'O', 'B-TEST', 'O', 'O']"
मरीज़ के लिए Emergency स्थिति में Heart Attack के लक्षणों का पता लगाने के लिए ECG और Echo किया गया और फिर Angioplasty की सलाह दी गई है।,"['मरीज़', 'के', 'लिए', 'Emergency', 'स्थिति', 'में', 'Heart Attack', 'के', 'लक्षणों', 'का', 'पता', 'लगाने', 'के', 'लिए', 'ECG', 'और', 'Echo', 'किया', 'गया', 'और', 'फिर', 'Angioplasty', 'की', 'सलाह', 'दी', 'गई', 'है', '।']","['O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TEST', 'O', 'B-TEST', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'O', 'O', 'O']"
"During the emergency room visit, the doctor ordered a rapid antigen test for COVID-19 after seeing the patient के तेज़ बुखार and सांस फूलने की शिकायत.","['During', 'the', 'emergency', 'room', 'visit', ',', 'the', 'doctor', 'ordered', 'a', 'rapid', 'antigen', 'test', 'for', 'COVID-19', 'after', 'seeing', 'the', 'patient', 'के', 'तेज़', 'बुखार', 'and', 'सांस', 'फूलने', 'की', 'शिकायत', '.']","['O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TEST', 'O', 'B- CONDITION', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'I-SYMPTOM', 'O']"
"A 45-year-old patient with suspected Cardiac Arrest was given Epinephrine injection of 1mg/kg body weight during CPR, but the situation worsened after an abnormal Electrocardiogram (ECG) test.","['A', '45-year-old', 'patient', 'with', 'suspected', 'Cardiac Arrest', 'was', 'given', 'Epinephrine', 'injection', 'of', '1mg/kg', 'body', 'weight', 'during', 'CPR', 'but', 'the', 'situation', 'worsened', 'after', 'an', 'abnormal', 'ECG', 'test', '.']","['O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'O', 'O', 'B-MEDICATION', 'O', 'O', 'B-DOSAGE', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TEST', 'O', 'O']"
The doctor diagnosed a 35-year-old woman with severe TB and prescribed 500mg Isoniazid twice daily after a positive sputum smear test and chest X-ray.,"['The', 'doctor', 'diagnosed', 'a', '35-year-old', 'woman', 'with', 'severe', 'TB', 'and', 'prescribed', '500mg', 'Isoniazid', 'twice', 'daily', 'after', 'a', 'positive', 'sputum', 'smear', 'test', 'and', 'chest', 'X-ray', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TEST', 'O', 'O', 'B-PROCEDURE', 'O']"
"An emergency doctor administered 20mg of Adrenaline (Epinephrine) via intravenous (IV) injection after patient experienced severe, तेज़ सांस लेना symptoms due to suspected Cardiac Arrest.","['An', 'emergency', 'doctor', 'administered', '20mg', 'of', 'Adrenaline', '(', 'Epinephrine', ')', 'via', 'intravenous', '(', 'IV', ')', 'injection', 'after', 'patient', 'experienced', 'severe', ',', 'तेज़ सांस लेना', 'symptoms', 'due', 'to', 'suspected', 'Cardiac', 'Arrest', '.']","['O', 'O', 'O', 'O', 'B-DOSAGE', 'O', 'B-MEDICATION', 'O', 'B-MEDICATION', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O']"
ौर्टोइम्यून हीमोलिटिक एनीमिया (एएचए) वाले मरीज़ को 2mg/Kg प्रतिदिन IVC डायलिसिस के साथ 1mg/Kg सेल ऑफ स्प्लीन (एसओएस) खुराक की सलाह दी गई थी।,"['ौर्टोइम्यून', 'हीमोलिटिक', 'एनीमिया', 'एएचए', 'वाले', 'मरीज़', 'को', '2mg/Kg', 'प्रतिदिन', 'IVC', 'डायलिसिस', 'के', 'साथ', '1mg/Kg', 'सेल ऑफ स्प्लीन', 'एसओएस', 'खुराक', 'की', 'सलाह', 'दी', 'गई', 'थी']","['B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'B-DOSAGE', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'B-DOSAGE', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'O', 'O', 'O']"
The emergency department doctor performed an immediate angioplasty on a 65-year-old patient suffering from severe chest pain and डायलिसिस निर्भरता.,"['The', 'emergency', 'department', 'doctor', 'performed', 'an', 'immediate', 'angioplasty', 'on', 'a', '65-year-old', 'patient', 'suffering', 'from', 'severe', 'chest', 'pain', 'and', 'डाय', 'लिसिस', 'निर्भरता', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'I-SYMPTOM', 'O']"
The patient with पैंफिसिटिस (Pleurisy) was under observation after an abnormal chest X-ray and took 500mg of Paracetamol thrice daily for तेज़ बुखार.,"['The', 'patient', 'with', 'पैंफिसिटिस', '(', 'Pleurisy', ')', 'was', 'under', 'observation', 'after', 'an', 'abnormal', 'chest', 'X-ray', 'and', 'took', '500mg', 'of', 'Paracetamol', 'thrice', 'daily', 'for', 'तेज़', 'बुखार', '.']","['O', 'O', 'O', 'B-CONDITION', 'O', 'I-CONDITION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TEST', 'O', 'O', 'B-DOSAGE', 'O', 'B-MEDICATION', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'O']"
