sentence_id,text,token,ner_tag
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,The,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,patient,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,was,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,rushed,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,to,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,the,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,ICU,B-PROCEDURE
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,after,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,suffering,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,a,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,cardiac,B-SYMPTOM
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,arrest,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,due,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,to,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,ventricular,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,fibrillation,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,and,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,was,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,administered,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,1mg,B-DOSAGE
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,Adrenaline,B-MEDICATION
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,IV,B-PROCEDURE
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,after,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,an,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,ECG,B-TEST
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,showed,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,a,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,cardiac,B-SYMPTOM
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,rhythm,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,disturbance,O
0,The patient was rushed to the ICU after suffering a cardiac arrest due to ventricular fibrillation and was administered 1mg Adrenaline IV after an ECG showed a cardiac rhythm disturbance.,.,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",The,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",emergency,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",doctor,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",performed,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",an,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",urgent,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",angioplasty,B-PROCEDURE
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",on,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",the,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",65-year-old,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",मरीज़,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",with,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",स्ट्रोक,B-SYMPTOM
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",symptoms,I-SYMPTOM
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",administered,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",10mg,B-DOSAGE
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",of,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",Alteplase,B-MEDICATION
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",medication,I-MEDICATION
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",and,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",further,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",took,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",a,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",BNP,B-TEST
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",test,I-TEST
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",to,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",confirm,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",the,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",diagnosis,O
1,"The emergency doctor performed an urgent angioplasty on the 65-year-old मरीज़ with स्ट्रोक symptoms, administered 10mg of Alteplase medication, and further took a BNP test to confirm the diagnosis.",.,O
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",The,O
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",doctor,O
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",prescribed,O
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",100mg,B-DOSAGE
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",Paracetamol,B-MEDICATION
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",for,O
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",the,O
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",patient's,O
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",severe,O
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",headache,B-SYMPTOM
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",and,O
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",fever,B-SYMPTOM
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",which,O
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",was,O
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",confirmed,O
2,"The doctor prescribed 100mg Paracetamol for the patient's severe headache and fever, which was confirmed by a positive PCR test for COVID-19, and advised the patient to undergo a chest X-ray and take oxygen therapy for 5 days.",by,O
